"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Bo Bichette","TOR","46","212","11","32","21","4","6.6%","23.6%",".260",".368",".311",".358",".571",".384",".337","143","-1.2","10.3","-3.4","1.4","19612"
"Brandon Nimmo","NYM","69","254","8","34","29","3","18.1%","28.0%",".186",".293",".221",".375",".407",".340",".334","115","1.9","6.9","-0.8","1.4","12927"
"Mallex Smith","SEA","134","566","6","70","37","46","7.4%","24.9%",".108",".302",".227",".300",".335",".278",".256","74","8.5","-10.1","3.8","1.4","13608"
"David Peralta","ARI","99","423","12","48","57","0","8.3%","20.6%",".186",".327",".275",".343",".461",".338",".304","106","-1.7","1.6","-1.0","1.4","2136"
"Victor Reyes","DET","69","292","3","29","25","9","4.8%","21.9%",".127",".384",".304",".336",".431",".325",".290","101","0.3","0.8","2.7","1.4","15487"
"Lorenzo Cain","MIL","148","623","11","75","48","18","8.0%","17.0%",".112",".301",".260",".325",".372",".302",".335","83","0.4","-13.8","7.8","1.3","9077"
"Corey Dickerson","- - -","78","279","12","33","59","1","5.7%","20.1%",".262",".344",".304",".341",".565",".367",".322","126","-0.9","8.7","-3.9","1.3","10762"
"Jacob Stallings","PIT","71","210","6","26","13","0","7.6%","19.0%",".120",".303",".262",".325",".382",".297",".316","82","-0.1","-5.2","12.0","1.3","13723"
"Matt Joyce","ATL","129","238","7","32","23","0","16.0%","18.9%",".155",".351",".295",".408",".450",".372",".360","127","-0.1","8.5","-2.8","1.3","3353"
"Jorge Alfaro","MIA","130","465","18","44","57","4","4.7%","33.1%",".162",".364",".262",".312",".425",".312",".324","95","-5.7","-9.0","7.5","1.3","12180"
"Teoscar Hernandez","TOR","125","464","26","58","65","6","9.7%","33.0%",".242",".293",".230",".306",".472",".325",".312","103","0.7","2.2","-5.7","1.3","13066"
"Jarrod Dyson","ARI","130","452","7","65","27","30","10.4%","19.0%",".090",".275",".230",".313",".320",".281",".273","68","8.9","-9.9","8.7","1.3","4866"
"Miguel Rojas","MIA","132","526","5","52","46","9","6.1%","11.8%",".095",".314",".284",".331",".379",".305",".303","90","-2.9","-9.8","6.2","1.3","7802"
"Donovan Solano","SFG","81","228","4","27","23","0","4.4%","21.5%",".126",".409",".330",".360",".456",".346",".343","116","-0.9","3.8","2.0","1.3","8623"
"Andrew McCutchen","PHI","59","262","10","45","29","2","16.4%","21.0%",".201",".299",".256",".378",".457",".358",".357","120","0.2","7.0","-2.2","1.3","9847"
"Aledmys Diaz","HOU","69","247","9","36","40","2","10.5%","11.3%",".195",".268",".271",".356",".467",".345",".343","118","-0.6","4.9","-0.9","1.3","15937"
"Alex Avila","ARI","63","201","9","22","24","1","17.9%","33.8%",".213",".287",".207",".353",".421",".323",".360","96","-3.1","-4.0","10.5","1.2","7476"
"Brock Holt","BOS","87","295","3","38","31","1","9.5%","19.3%",".104",".365",".297",".369",".402",".333",".306","103","-1.2","-0.2","2.3","1.2","9345"
"Victor Caratini","CHC","95","279","11","31","34","1","10.4%","21.1%",".180",".305",".266",".348",".447",".338",".344","106","-1.5","0.9","2.9","1.2","14968"
"Tyler Naquin","CLE","89","294","10","34","34","4","4.8%","22.4%",".179",".345",".288",".325",".467",".330",".327","105","-1.2","0.6","1.4","1.2","13359"
"Yadier Molina","STL","113","452","10","45","57","6","5.1%","12.8%",".129",".289",".270",".312",".399",".303",".322","88","-3.8","-10.8","8.8","1.2","7007"
"Brian Dozier","WSN","135","482","20","54","50","3","12.7%","21.8%",".192",".271",".238",".340",".430",".329",".330","100","-1.6","-1.5","-1.7","1.2","9810"
"Austin Nola","SEA","79","267","10","37","31","1","8.6%","23.6%",".185",".325",".269",".342",".454",".337",".296","114","1.5","6.3","-3.8","1.2","15941"
"Daniel Vogelbach","SEA","144","558","30","73","76","0","16.5%","26.7%",".232",".232",".208",".341",".439",".333",".345","112","-0.1","8.1","-16.1","1.2","14130"
"Mike Freeman","CLE","75","213","4","27","24","1","10.3%","28.6%",".113",".388",".277",".362",".390",".327",".277","103","1.8","2.6","1.6","1.2","11241"
"Greg Garcia","SDP","134","372","4","52","31","0","14.2%","22.3%",".106",".323",".248",".364",".354",".319",".294","98","0.2","-0.6","0.4","1.1","10951"
"Franmil Reyes","- - -","150","548","37","69","81","0","8.6%","28.5%",".263",".279",".249",".310",".512",".338",".359","111","-3.2","4.5","-11.3","1.1","14566"
"Russell Martin","LAD","83","249","6","29","20","1","12.0%","24.1%",".110",".276",".220",".337",".330",".295",".304","82","0.2","-5.7","9.3","1.1","4616"
"Shin-Soo Choo","TEX","151","660","24","93","61","15","11.8%","25.0%",".190",".333",".265",".371",".455",".353",".362","112","3.8","13.8","-26.4","1.1","3174"
"Mitch Haniger","SEA","63","283","15","46","32","4","10.6%","28.6%",".244",".257",".220",".314",".463",".326",".331","107","0.5","2.8","-2.0","1.1","14274"
"J.P. Crawford","SEA","93","396","7","43","46","5","10.9%","21.0%",".145",".275",".226",".313",".371",".296",".292","87","0.7","-6.0","2.6","1.1","15491"
"Brian McCann","ATL","85","316","12","28","45","0","9.8%","16.8%",".162",".261",".249",".323",".412",".311",".313","88","-2.5","-7.5","8.3","1.1","4810"
"Robinson Cano","NYM","107","423","13","46","39","0","5.9%","16.3%",".172",".280",".256",".307",".428",".308",".330","94","-2.3","-5.6","2.7","1.0","3269"
"Rougned Odor","TEX","145","581","30","77","93","11","9.0%","30.6%",".234",".244",".205",".283",".439",".302",".321","77","2.2","-14.9","4.3","1.0","12282"
"Jake Marisnick","HOU","120","318","10","46","34","10","5.3%","29.9%",".178",".310",".233",".289",".411",".297",".259","85","2.0","-4.2","3.1","1.0","11339"
"Tim Locastro","ARI","91","250","1","38","17","17","5.6%","17.6%",".090",".310",".250",".357",".340",".314",".295","90","5.2","2.0","0.2","1.0","15124"
"Jake Cave","MIN","72","228","8","28","25","0","9.2%","31.1%",".197",".358",".258",".351",".455",".343",".359","114","0.7","4.8","-2.9","1.0","14477"
"Pablo Sandoval","SFG","108","296","14","42","41","1","6.1%","22.6%",".239",".304",".268",".313",".507",".336",".335","110","-0.6","3.1","-2.4","1.0","5409"
"C.J. Cron","MIN","125","499","25","51","78","0","5.8%","21.4%",".216",".277",".253",".311",".469",".325",".366","101","-5.6","-4.7","-3.3","1.0","12546"
"Randal Grichuk","TOR","151","628","31","75","80","2","5.6%","26.0%",".225",".266",".232",".280",".457",".307",".304","90","-3.8","-11.5","-1.1","1.0","10243"
"Jordy Mercer","DET","74","271","9","24","22","0","4.8%","21.0%",".168",".316",".270",".310",".438",".314",".315","94","0.3","-1.7","1.8","1.0","6547"
"Curt Casali","CIN","84","236","8","24","32","0","10.6%","25.0%",".159",".308",".251",".331",".411",".316",".309","88","1.5","-2.3","4.6","1.0","12510"
"Eddie Rosario","MIN","137","590","32","91","109","3","3.7%","14.6%",".224",".273",".276",".300",".500",".329",".327","104","0.2","3.2","-14.9","0.9","12155"
"Alex Gordon","KCR","150","633","13","77","76","5","8.1%","15.8%",".129",".301",".266",".345",".396",".319",".330","95","-2.4","-6.1","-7.2","0.9","5209"
"Ender Inciarte","ATL","65","230","5","30","24","7","11.3%","17.8%",".151",".286",".246",".343",".397",".318",".291","92","2.6","0.3","1.9","0.9","4922"
"Jurickson Profar","OAK","139","518","20","65","67","9","9.3%","14.5%",".192",".218",".218",".301",".410",".301",".328","90","1.8","-5.1","-4.2","0.9","10815"
"Jay Bruce","- - -","98","333","26","43","59","1","5.7%","24.6%",".306",".200",".216",".261",".523",".318",".346","98","-0.4","-1.5","-0.7","0.9","9892"
"Austin Romine","NYY","73","240","8","29","35","1","4.2%","20.8%",".158",".327",".281",".310",".439",".315",".306","96","-2.2","-3.5","3.9","0.9","5491"
"Adam Engel","CHW","89","248","6","26","26","3","5.6%","31.5%",".141",".343",".242",".304",".383",".296",".280","83","1.6","-4.0","4.0","0.9","15082"
"Delino DeShields","TEX","118","408","4","42","32","24","9.3%","24.5%",".098",".333",".249",".325",".347",".295",".273","72","4.8","-9.6","3.8","0.9","11379"
"Josh Reddick","HOU","141","550","14","57","56","5","6.5%","12.0%",".134",".288",".275",".319",".409",".308",".316","92","0.4","-4.9","-6.2","0.9","3892"
"Ryan McMahon","COL","141","539","24","70","83","5","10.4%","29.7%",".200",".323",".250",".329",".450",".330",".325","89","0.1","-7.8","-0.8","0.8","15112"
"Addison Russell","CHC","82","241","9","25","23","2","8.3%","24.1%",".153",".280",".237",".308",".391",".297",".288","79","0.6","-6.0","6.8","0.8","14106"
"Robbie Grossman","OAK","138","482","6","57","38","9","12.2%","17.8%",".107",".288",".240",".334",".348",".299",".326","88","0.0","-7.4","-1.5","0.8","5254"
"Dexter Fowler","STL","150","574","19","69","67","8","12.9%","24.7%",".170",".294",".238",".346",".409",".326",".340","103","-0.3","2.3","-12.4","0.8","4062"
"Phillip Ervin","CIN","94","260","7","30","23","4","6.9%","24.2%",".195",".339",".271",".331",".466",".334",".301","100","0.4","0.4","-0.4","0.8","14738"
"Yan Gomes","WSN","97","358","12","36","43","2","10.6%","23.5%",".166",".265",".223",".316",".389",".298",".302","80","-2.1","-11.6","8.4","0.8","9627"
"Mitch Moreland","BOS","91","335","19","48","58","1","10.1%","22.1%",".255",".271",".252",".328",".507",".347",".352","112","-2.1","3.2","-7.3","0.8","3086"
"Michael Chavis","BOS","95","382","18","46","58","2","8.1%","33.2%",".190",".347",".254",".322",".444",".323",".298","96","-2.3","-4.3","-1.6","0.8","17321"
"Stephen Vogt","SFG","99","280","10","30","40","3","7.1%","23.6%",".227",".311",".263",".314",".490",".331",".330","106","0.3","2.6","-3.6","0.8","5000"
"Nick Markakis","ATL","116","469","9","61","62","2","10.0%","12.6%",".135",".310",".285",".356",".420",".332",".350","101","-1.9","-1.0","-6.1","0.8","5930"
"Enrique Hernandez","LAD","130","460","17","57","64","4","7.8%","21.1%",".174",".266",".237",".304",".411",".301",".304","86","1.5","-6.8","-0.3","0.7","10472"
"Martin Maldonado","- - -","105","374","12","46","27","0","8.6%","23.0%",".165",".250",".213",".293",".378",".288",".295","76","-3.1","-14.8","8.7","0.7","6887"
"Dylan Moore","SEA","113","282","9","31","28","11","8.9%","33.0%",".182",".290",".206",".302",".389",".299",".277","88","-0.7","-5.0","2.1","0.7","18042"
"Yolmer Sanchez","CHW","149","555","2","59","43","5","7.9%","21.1%",".069",".324",".252",".318",".321",".281",".274","73","2.0","-17.3","4.5","0.7","11602"
"Derek Dietrich","CIN","113","306","19","41","43","1","9.2%","24.2%",".275",".176",".187",".328",".462",".334",".342","100","1.4","1.4","-4.0","0.7","10542"
"Ehire Adrianza","MIN","84","236","5","34","22","0","8.5%","16.9%",".144",".311",".272",".349",".416",".326",".325","102","0.0","0.7","-2.2","0.7","8418"
"Wil Myers","SDP","155","490","18","58","53","16","10.4%","34.3%",".179",".344",".239",".321",".418",".316",".319","97","-0.6","-2.6","-6.0","0.7","10047"
"Adam Haseley","PHI","67","242","5","30","26","4","5.8%","24.8%",".131",".344",".266",".324",".396",".309",".269","87","1.5","-2.7","1.7","0.7","19878"
"Nomar Mazara","TEX","116","469","19","69","66","4","6.0%","23.0%",".200",".312",".268",".318",".469",".327",".338","94","-0.1","-3.6","-6.7","0.6","14553"
"Neil Walker","MIA","115","381","8","37","38","3","11.0%","20.2%",".134",".316",".261",".344",".395",".319",".339","99","-1.0","-1.3","-4.2","0.6","7539"
"Stephen Piscotty","OAK","93","393","13","46","44","2","7.4%","21.4%",".162",".289",".249",".309",".412",".306",".318","93","0.7","-2.9","-4.7","0.6","13367"
"Kurt Suzuki","WSN","85","309","17","37","63","0","6.5%","11.7%",".221",".248",".264",".324",".486",".337",".338","105","-0.5","1.6","-4.9","0.6","8259"
"Guillermo Heredia","TBR","89","231","5","31","20","2","7.8%","26.0%",".137",".293",".225",".306",".363",".291",".298","84","1.0","-3.8","1.9","0.6","18721"
"Joey Votto","CIN","142","608","15","79","47","5","12.5%","20.2%",".150",".313",".261",".357",".411",".332",".347","98","-3.9","-5.3","-7.7","0.6","4314"
"Ben Gamel","MIL","134","356","7","47","33","2","11.2%","29.2%",".125",".347",".248",".337",".373",".308",".297","87","2.5","-3.7","-1.2","0.6","12160"
"Joey Wendle","TBR","75","263","3","32","19","8","5.3%","17.9%",".109",".272",".231",".293",".340",".275",".294","73","1.6","-7.5","4.3","0.6","13853"
"Brandon Belt","SFG","156","616","17","76","57","4","13.5%","20.6%",".169",".275",".234",".339",".403",".319",".346","98","-1.6","-3.1","-10.3","0.6","10264"
"Austin Barnes","LAD","75","242","5","28","25","3","9.5%","23.1%",".137",".248",".203",".293",".340",".272",".256","67","-0.9","-11.5","10.0","0.6","12158"
"Aaron Hicks","NYY","59","255","12","41","36","1","12.2%","28.2%",".208",".286",".235",".325",".443",".325",".295","103","-0.1","0.7","-3.7","0.6","5297"
"Greg Allen","CLE","89","256","4","30","27","8","4.3%","20.7%",".117",".280",".229",".290",".346",".274",".275","67","0.6","-10.1","7.0","0.6","16623"
"Anthony Santander","BAL","93","405","20","46","59","1","4.7%","21.2%",".216",".285",".261",".297",".476",".321",".319","97","-0.2","-1.7","-6.8","0.6","14551"
"Luis Rengifo","LAA","108","406","7","44","33","2","9.9%","22.9%",".126",".300",".238",".321",".364",".298",".306","83","0.5","-8.2","-0.6","0.6","19858"
"Nick Senzel","CIN","104","414","12","55","42","14","7.2%","24.4%",".171",".319",".256",".315",".427",".315",".305","87","-0.4","-7.3","-0.1","0.6","19293"
"Tucker Barnhart","CIN","114","364","11","32","40","1","12.1%","22.8%",".149",".278",".231",".328",".380",".301",".284","78","-3.5","-14.0","8.1","0.6","10200"
"Francisco Mejia","SDP","79","244","8","27","22","1","5.3%","23.0%",".173",".319",".265",".316",".438",".317",".276","97","-1.2","-2.0","-0.1","0.6","16403"
"Dee Strange-Gordon","SEA","117","421","3","36","34","22","4.3%","14.5%",".084",".313",".275",".304",".359",".282",".263","77","2.9","-9.3","-0.3","0.5","8203"
"Jesse Winker","CIN","113","384","16","51","38","0","9.9%","15.6%",".204",".286",".269",".357",".473",".351",".346","111","-4.1","1.5","-8.1","0.5","13590"
"Adeiny Hechavarria","- - -","84","221","9","34","33","3","6.3%","21.7%",".202",".272",".241",".299",".443",".312",".292","94","0.7","-1.1","-0.4","0.5","10459"
"Pedro Severino","BAL","96","341","13","37","44","3","8.5%","21.4%",".170",".285",".249",".321",".420",".316",".336","94","-2.1","-4.8","-2.0","0.5","14523"
"Brandon Dixon","DET","118","420","15","41","52","5","5.0%","32.4%",".187",".336",".248",".290",".435",".303",".306","87","1.1","-6.0","-4.3","0.5","15214"
"Justin Smoak","TOR","121","500","22","54","61","0","15.8%","21.2%",".198",".223",".208",".342",".406",".323",".368","102","-4.5","-3.5","-9.9","0.5","9054"
"Kevin Pillar","- - -","161","645","21","83","88","14","2.8%","13.8%",".173",".270",".259",".287",".432",".298",".300","84","6.0","-7.4","-9.1","0.4","12434"
"Tony Kemp","- - -","110","279","8","31","29","4","8.2%","16.8%",".167",".227",".212",".291",".380",".285",".258","76","-1.3","-10.1","4.5","0.4","14894"
"Mike Zunino","TBR","90","289","9","30","32","0","6.9%","33.9%",".147",".220",".165",".232",".312",".235",".274","46","0.6","-19.3","12.7","0.4","13265"
"Brandon Crawford","SFG","147","560","11","58","59","3","9.5%","20.9%",".122",".274",".228",".304",".350",".281",".306","73","-0.9","-20.8","6.8","0.4","5343"
"JaCoby Jones","DET","88","333","11","39","26","7","8.1%","28.2%",".195",".304",".235",".310",".430",".311",".327","92","1.0","-2.3","-6.0","0.4","14818"
"Domingo Santana","SEA","121","507","21","63","69","8","9.9%","32.3%",".188",".347",".253",".329",".441",".326",".342","107","0.5","5.1","-20.0","0.3","10348"
"Josh Phegley","OAK","106","342","12","44","62","0","4.4%","18.4%",".172",".258",".239",".282",".411",".291",".286","83","-4.0","-11.6","2.5","0.3","9308"
"Ildemaro Vargas","ARI","92","211","6","25","24","1","4.3%","11.4%",".144",".279",".269",".299",".413",".300",".289","81","-0.5","-5.7","2.1","0.3","13324"
"Joe Panik","- - -","142","491","5","50","39","4","8.8%","9.6%",".091",".262",".244",".315",".336",".284",".306","76","-2.3","-18.1","5.3","0.3","11936"
"Ryan Cordell","CHW","97","247","7","22","24","3","7.7%","27.9%",".134",".287",".221",".290",".355",".279",".276","71","0.1","-8.9","2.9","0.3","15181"
"A.J. Pollock","LAD","86","342","15","49","47","5","6.7%","21.6%",".201",".300",".266",".327",".468",".333",".329","107","1.9","4.9","-13.0","0.3","9256"
"Matt Beaty","LAD","99","268","9","36","46","5","6.3%","12.3%",".193",".275",".265",".317",".458",".324",".319","101","0.1","0.4","-6.1","0.3","17710"
"Jason Kipnis","CLE","121","511","17","52","65","7","7.8%","17.2%",".166",".265",".245",".304",".410",".301",".316","86","0.0","-9.5","-6.2","0.3","9776"
"Colin Moran","PIT","149","503","13","46","80","0","6.0%","23.3%",".152",".341",".277",".322",".429",".315",".314","93","-3.4","-7.8","-5.7","0.3","16909"
"Renato Nunez","BAL","151","599","31","72","90","1","7.3%","23.9%",".216",".272",".244",".311",".460",".323",".335","99","0.3","-0.8","-18.3","0.2","14503"
"Chad Pinder","OAK","124","370","13","45","47","0","5.4%","23.8%",".176",".284",".240",".290",".416",".298",".319","87","-1.5","-7.6","-3.4","0.2","15191"
"Willie Calhoun","TEX","83","337","21","51","48","0","6.8%","15.7%",".256",".262",".269",".323",".524",".351",".323","110","-2.2","2.3","-12.3","0.2","17838"
"Jeimer Candelario","DET","94","386","8","33","32","3","11.1%","25.6%",".134",".262",".203",".306",".337",".283",".308","73","0.3","-13.0","0.9","0.2","13621"
"Ronny Rodriguez","DET","84","294","14","29","43","3","4.4%","27.9%",".217",".254",".221",".252",".438",".283",".287","73","1.6","-8.6","-0.2","0.2","11875"
"Jake Lamb","ARI","78","226","6","26","30","1","14.2%","24.3%",".160",".234",".193",".323",".353",".297",".347","79","1.5","-4.7","-1.2","0.1","13329"
"Austin Riley","ATL","80","297","18","41","49","0","5.4%","36.4%",".245",".293",".226",".279",".471",".307",".309","85","-1.1","-7.0","-1.2","0.1","18360"
"Garrett Hampson","COL","105","327","8","40","27","15","7.3%","26.9%",".137",".322",".247",".302",".385",".292",".265","64","4.2","-11.2","1.5","0.1","19262"
"Jesus Aguilar","- - -","131","369","12","39","50","0","11.7%","22.0%",".153",".272",".236",".325",".389",".307",".333","89","-1.9","-7.4","-4.7","0.0","11342"
"Daniel Robertson","TBR","74","237","2","23","19","2","10.1%","24.9%",".082",".288",".213",".312",".295",".275",".279","73","-2.9","-11.1","2.6","0.0","14145"
"Tim Beckham","SEA","88","328","15","39","47","1","6.4%","31.1%",".224",".305",".237",".293",".461",".315",".297","99","-2.4","-2.7","-9.1","0.0","7949"
"Jose Martinez","STL","128","373","10","45","42","3","9.4%","22.0%",".141",".328",".269",".340",".410",".323",".348","102","-0.6","0.1","-12.0","0.0","7996"
"Josh VanMeter","CIN","95","260","8","33","23","9","11.2%","21.5%",".171",".279",".237",".327",".408",".316",".325","88","-0.9","-5.0","-3.6","0.0","15170"
"Gerardo Parra","- - -","119","301","9","38","48","8","6.3%","19.6%",".157",".264",".234",".293",".391",".288",".296","74","-1.4","-11.6","1.3","-0.1","8553"
"Ian Kinsler","SDP","87","281","9","28","22","2","6.8%","19.2%",".151",".240",".217",".278",".368",".277",".254","71","-3.2","-13.9","3.9","-0.1","6195"
"Willians Astudillo","MIN","58","204","4","28","21","0","2.5%","3.9%",".111",".258",".268",".299",".379",".288",".319","77","-2.4","-8.5","0.0","-0.1","15608"
"Luis Urias","SDP","71","249","4","27","24","0","10.0%","22.5%",".102",".284",".223",".329",".326",".294",".307","82","-2.0","-7.8","-1.7","-0.1","16622"
"Raimel Tapia","COL","138","447","9","54","44","9","4.7%","22.4%",".141",".341",".275",".309",".415",".307",".285","74","-0.2","-15.6","-0.4","-0.2","14350"
"Matt Adams","WSN","111","333","20","42","56","0","6.0%","34.5%",".239",".284",".226",".276",".465",".306",".320","85","-1.2","-7.8","-4.6","-0.2","9393"
"Brandon Drury","TOR","120","447","15","43","41","0","5.6%","25.3%",".163",".259",".218",".262",".380",".271",".306","66","1.6","-17.7","-0.3","-0.2","11615"
"Harold Ramirez","MIA","119","446","11","54","50","2","4.0%","20.4%",".140",".328",".276",".312",".416",".308",".307","92","0.5","-4.1","-12.1","-0.2","14387"
"Jackson Frazier","NYY","69","246","12","31","38","1","6.5%","28.5%",".222",".329",".267",".317",".489",".333",".319","108","-1.2","1.3","-12.2","-0.2","15983"
"Vladimir Guerrero Jr.","TOR","123","514","15","52","69","0","8.9%","17.7%",".162",".308",".272",".339",".433",".329",".329","106","-6.6","-3.0","-17.6","-0.2","19611"
"Justin Upton","LAA","63","256","12","34","40","1","12.5%","30.5%",".201",".261",".215",".309",".416",".307",".317","89","-0.4","-4.0","-7.7","-0.2","5222"
"Rio Ruiz","BAL","127","413","12","35","46","0","9.7%","21.3%",".143",".272",".232",".306",".376",".294",".292","79","-3.2","-14.3","-3.1","-0.2","14103"
"Ty France","SDP","69","201","7","20","24","0","4.5%","24.4%",".168",".279",".234",".294",".402",".296",".294","84","-3.5","-7.7","-1.2","-0.2","17982"
"Juan Lagares","NYM","133","285","5","38","27","4","7.7%","26.3%",".112",".279",".213",".279",".326",".258",".254","61","-0.5","-15.1","3.4","-0.3","5384"
"Rowdy Tellez","TOR","111","409","21","49","54","1","7.1%","28.4%",".222",".267",".227",".293",".449",".308",".335","91","-1.6","-6.1","-11.4","-0.3","15679"
"Kevan Smith","LAA","67","211","5","21","20","2","7.6%","17.5%",".141",".287",".251",".318",".393",".305",".348","88","-1.8","-5.0","-5.5","-0.3","12284"
"Keon Broxton","- - -","100","228","6","24","16","10","8.8%","45.6%",".108",".292",".167",".242",".275",".229",".233","39","0.0","-18.1","7.1","-0.3","9253"
"Dawel Lugo","DET","77","288","6","28","26","0","2.8%","20.5%",".136",".288",".245",".271",".381",".272",".286","66","-1.9","-14.5","0.7","-0.3","14713"
"Josh Naylor","SDP","94","279","8","29","32","1","9.0%","22.9%",".154",".302",".249",".315",".403",".306",".298","90","-0.1","-3.6","-8.8","-0.3","18839"
"Billy McKinney","TOR","84","276","12","37","28","0","6.9%","26.4%",".207",".250",".215",".274",".422",".291",".281","80","-0.4","-7.4","-6.2","-0.4","15654"
"Jose Peraza","CIN","141","403","6","37","33","7","4.2%","14.4%",".106",".268",".239",".285",".346",".272",".298","59","-1.0","-22.6","6.1","-0.4","13593"
"Billy Hamilton","- - -","119","353","0","41","15","22","9.1%","24.6%",".057",".299",".218",".289",".275",".251",".252","49","5.8","-17.1","0.9","-0.4","10199"
"Jose Osuna","PIT","95","285","10","41","36","0","6.3%","16.8%",".192",".285",".264",".310",".456",".320",".329","96","-1.3","-2.7","-10.1","-0.4","12937"
"Melky Cabrera","PIT","133","397","7","43","47","2","4.3%","10.3%",".119",".300",".280",".313",".399",".301",".298","84","-1.9","-10.2","-6.2","-0.4","4022"
"Didi Gregorius","NYY","82","344","16","47","61","2","4.9%","15.4%",".204",".237",".238",".276",".441",".297",".287","84","1.1","-6.0","-10.6","-0.4","6012"
"Harold Castro","DET","97","369","5","30","38","4","2.4%","23.3%",".093",".367",".291",".305",".384",".292",".279","79","0.8","-9.0","-8.6","-0.4","14691"
"Adam Jones","ARI","137","528","16","66","67","2","5.9%","19.1%",".155",".296",".260",".313",".414",".308",".319","87","-2.0","-11.3","-9.7","-0.4","6368"
"Jake Bauers","CLE","117","423","12","46","43","3","10.6%","27.2%",".145",".290",".226",".312",".371",".296",".293","82","1.0","-8.7","-10.9","-0.4","15194"
"Tony Wolters","COL","121","411","1","42","42","0","8.8%","16.5%",".067",".314",".262",".337",".329",".290",".286","63","-1.5","-21.5","3.7","-0.5","11470"
"Steven Duggar","SFG","73","281","4","26","28","1","5.7%","27.8%",".107",".313",".234",".278",".341",".265",".269","63","-1.0","-14.7","0.9","-0.5","17719"
"Miguel Cabrera","DET","136","549","12","41","59","0","8.7%","19.7%",".116",".336",".282",".346",".398",".318",".331","97","-6.3","-8.4","-16.2","-0.5","1744"
"Nicky Lopez","KCR","103","402","2","44","30","1","4.5%","12.7%",".084",".273",".240",".276",".325",".260",".242","56","-0.6","-23.4","3.9","-0.5","19339"
"Leonys Martin","CLE","65","264","9","32","19","4","8.0%","29.5%",".144",".255",".199",".276",".343",".269",".262","64","0.6","-11.6","-3.0","-0.5","11846"
"Johan Camargo","ATL","98","248","7","31","32","1","6.0%","17.3%",".151",".258",".233",".279",".384",".279",".284","66","0.5","-10.5","-2.9","-0.5","14950"
"Daniel Murphy","COL","132","478","13","56","78","1","6.7%","15.5%",".174",".307",".279",".328",".452",".328",".290","88","-0.8","-8.5","-12.3","-0.5","4316"
"Hernan Perez","MIL","91","246","8","29","18","5","4.5%","26.8%",".151",".283",".228",".262",".379",".271",".256","62","-1.8","-14.1","0.6","-0.5","5751"
"Albert Almora Jr.","CHC","130","363","12","41","32","2","4.4%","17.1%",".145",".255",".236",".271",".381",".271",".285","62","-0.7","-18.7","1.4","-0.6","14109"
"Logan Forsythe","TEX","101","367","7","38","39","2","12.0%","27.2%",".126",".307",".227",".325",".353",".298",".320","75","0.1","-11.7","-7.6","-0.6","7185"
"Ian Desmond","COL","140","482","20","64","65","3","7.1%","24.7%",".223",".304",".255",".310",".479",".328",".340","88","-1.7","-9.6","-12.3","-0.6","6885"
"Albert Pujols","LAA","131","545","23","55","93","3","7.9%","12.5%",".185",".238",".244",".305",".430",".308",".319","90","-4.4","-11.4","-14.8","-0.6","1177"
"Jonathan Lucroy","- - -","101","328","8","30","36","0","8.2%","15.5%",".123",".253",".232",".305",".355",".286",".299","74","-5.8","-16.8","-1.4","-0.6","7870"
"Tyler White","- - -","83","279","3","18","23","0","12.9%","28.0%",".096",".290",".208",".308",".304",".274",".273","70","-1.3","-12.2","-4.4","-0.6","15564"
"Gordon Beckham","DET","83","240","6","29","15","3","5.4%","28.3%",".157",".282",".215",".271",".372",".274",".278","67","-0.1","-10.2","-5.5","-0.7","9015"
"Richie Martin","BAL","120","309","6","29","23","10","4.5%","26.9%",".113",".272",".208",".260",".322",".252",".250","50","-1.1","-20.7","2.4","-0.7","17736"
"Kendrys Morales","- - -","53","201","2","16","12","0","12.9%","12.9%",".059",".217",".194",".313",".253",".264",".365","63","-1.8","-11.4","-3.2","-0.7","8610"
"Isiah Kiner-Falefa","TEX","65","222","1","23","21","3","6.3%","22.1%",".084",".307",".238",".299",".322",".272",".263","57","0.5","-11.7","-3.8","-0.7","16512"
"Maikel Franco","PHI","123","428","17","48","56","0","8.4%","14.3%",".175",".236",".234",".297",".409",".281",".298","69","-3.2","-20.7","-1.3","-0.8","12179"
"Dwight Smith Jr.","BAL","101","392","13","46","53","5","6.6%","20.9%",".171",".274",".241",".297",".412",".299",".290","83","-0.8","-9.6","-13.3","-0.8","13473"
"Grayson Greiner","DET","58","224","5","18","19","0","5.8%","31.3%",".106",".276",".202",".251",".308",".242",".253","45","-0.4","-16.1","-1.0","-0.9","17062"
"Orlando Arcia","MIL","152","546","15","51","59","8","7.9%","20.0%",".128",".253",".223",".283",".350",".269",".277","61","0.9","-27.3","0.8","-0.9","13185"
"Ronald Guzman","TEX","87","295","10","34","36","1","10.8%","29.5%",".195",".282",".219",".308",".414",".306",".327","80","-4.1","-11.7","-8.1","-0.9","14388"
"Eric Hosmer","SDP","160","667","22","72","99","0","6.0%","24.4%",".160",".323",".265",".310",".425",".309",".304","92","-5.2","-12.1","-18.4","-0.9","3516"
"Khris Davis","OAK","133","533","23","61","73","0","8.8%","27.4%",".166",".264",".220",".293",".387",".289",".318","81","-2.2","-15.0","-13.6","-0.9","9112"
